run_id,study,kind,config_hash,git_commit,source_config_hash,L,U,g,q,lambda,chi,status,message,field_residual,density_residual,number_residual,s_min,mu_evaluations,total_scf_iterations,wall_seconds,accepted,requested,reason,raw_directory,bulk_pair_product_imag,bulk_pair_product_real,complex_fraction,gamma_max_over_t,metric_K_real,metric_phase_stable,metric_violation,minimum_eigenvalue_separation,mu,right_condition,mp_similarity_error,covariance_error,similarity_condition,spectrum_error,map_error,component_error,density_error,pair_product_error,scale_imag,scale_real,delta_P_bulk,delta_P_full,seed_method,trial_index,branch_message,branch_terminated,pair_product_error_to_nh,density_uniformity,momentum_spectrum_error,pair_uniformity,density_error_to_endpoint,pair_product_error_to_endpoint,spectrum_error_to_endpoint,green_covariance_max,snapshot
fig4_obc_seed_b96c5c2e74f0,fig4,obc_seed,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,0.0,0.0,SUCCESS,SUCCESS,8.770906583448052e-11,3.905881654916399e-11,8.346452418095396e-10,,31,12278,134.53462249133736,True,True,,data/raw/fig4/fig4_obc_seed_b96c5c2e74f0,3.0919930413336927e-18,0.12616890281016876,0.0,4.3021142397558437e-16,0.9999999999863934,True,3.996271234899208e-12,0.0018191756736825049,-1.3855207939585132,7.028687580588388,,,,,,,,,,,,,direct_obc,,SUCCESS,False,,,,,,,,,OBC
fig4_branch_trial_3e96ba91bcac,fig4,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,1.0,7.38905609893065,SUCCESS,SUCCESS,7.353612733788414e-11,2.1528646954713955e-11,8.289194886046403e-10,0.8016196149104823,25,3611,61.14089545980096,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_3e96ba91bcac,-9.107918248283687e-18,0.1264994781391756,0.95,0.1000416718753106,0.036802241071064126,True,0.8656416436976156,0.013622136695750908,-1.403718616587536,1.0000000000010025,,,,,,,,,,,0.008057736132156513,0.14525578917752907,direct_obc,14.0,,,,,,,,,,,PBC
fig4_branch_trial_c6a71b6f639e,fig4,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,0.004393970560760791,0.03246729497051125,SUCCESS,SUCCESS,8.804598262427528e-11,3.9951282944292054e-11,8.829218467454325e-10,0.9999996157243205,13,3857,53.98712117597461,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_c6a71b6f639e,3.949338583991943e-18,0.12617118074373798,0.0,2.1826241655468464e-16,0.9968534369399122,True,0.0011367192559900811,0.0041261895851161245,-1.3855228618296072,7.05780260910432,,,,,,,,,,,1.8269160399175984e-05,0.00017059462776202274,direct_obc,19.0,,,,,,,,,,,near
fig4_branch_trial_8df56f0d02aa,fig4,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,0.011787686347935854,0.08709987570149699,SUCCESS,SUCCESS,8.285567012398469e-11,7.824681260308907e-11,5.709868133862983e-10,0.9999916696754669,14,4362,62.322040021885186,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_8df56f0d02aa,-2.7820820974003555e-18,0.1261754052469036,0.0,4.4314446321422867e-16,0.977659460767116,True,0.008118293640324238,0.004073196104359189,-1.3855283355946921,7.600629561599437,,,,,,,,,,,5.498112117174282e-05,0.0011641780402934724,direct_obc,21.0,,,,,,,,,,,above
