run_id,study,kind,config_hash,git_commit,source_config_hash,L,U,g,q,lambda,chi,status,message,field_residual,density_residual,number_residual,s_min,mu_evaluations,total_scf_iterations,wall_seconds,accepted,requested,reason,raw_directory,bulk_pair_product_imag,bulk_pair_product_real,complex_fraction,gamma_max_over_t,metric_K_real,metric_phase_stable,metric_violation,minimum_eigenvalue_separation,mu,right_condition,mp_similarity_error,covariance_error,similarity_condition,spectrum_error,map_error,component_error,density_error,pair_product_error,scale_imag,scale_real,delta_P_bulk,delta_P_full,seed_method,trial_index,branch_message,branch_terminated,pair_product_error_to_nh,density_uniformity,momentum_spectrum_error,pair_uniformity,density_error_to_endpoint,pair_product_error_to_endpoint,spectrum_error_to_endpoint,green_covariance_max,branch_id
fig4_momentum_benchmark_b3c82862c830,fig3,momentum_benchmark,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,1.0,3.320116922736548,SUCCESS,SUCCESS,6.148727116323053e-12,5.605255836244238e-11,9.335108241970147e-10,0.9564649050469654,25,2311,9.647780551109463,True,True,,data/raw/fig4/fig4_momentum_benchmark_b3c82862c830,-4.1986812491484564e-18,0.12819196083082024,0.9166666666666666,0.10004167187531081,0.18085544775918883,True,0.7673136065679522,0.04934677761036249,-1.3994662774962965,1.0000000000002824,,,,,,,,,,,,,,,,,,4.314779571692463e-16,7.10959875994756e-15,1.0941355880580787e-15,,,,,U2_L24_g0p05
fig4_momentum_benchmark_dcd6459cc1c5,fig3,momentum_benchmark,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,1.0,7.38905609893065,SUCCESS,SUCCESS,7.353612733788414e-11,2.1528646954713955e-11,8.289194886046403e-10,0.8016196149104823,25,3611,61.14089545980096,True,True,,data/raw/fig4/fig4_momentum_benchmark_dcd6459cc1c5,-9.107918248283687e-18,0.1264994781391756,0.95,0.1000416718753106,0.036802241071064126,True,0.8656416436976156,0.013622136695750908,-1.403718616587536,1.0000000000010025,,,,,,,,,,,,,,,,,,2.8356229535111957e-16,1.8367539534361572e-14,1.4233458340418147e-15,,,,,U2_L40_g0p05
fig4_obc_seed_b96c5c2e74f0,fig3,obc_seed,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,0.0,0.0,SUCCESS,SUCCESS,8.770906583448052e-11,3.905881654916399e-11,8.346452418095396e-10,,31,12278,134.53462249133736,True,True,,data/raw/fig4/fig4_obc_seed_b96c5c2e74f0,3.0919930413336927e-18,0.12616890281016876,0.0,4.3021142397558437e-16,0.9999999999863934,True,3.996271234899208e-12,0.0018191756736825049,-1.3855207939585132,7.028687580588388,,,,,,,,,,,,,direct_obc,,SUCCESS,False,,,,,,,,,U2_L40_g0p05
fig4_obc_seed_dd092fc79bcc,fig3,obc_seed,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,0.0,0.0,SUCCESS,SUCCESS,8.758448331458183e-11,5.4277222370553893e-11,2.4006518994923454e-10,,31,8963,17.211124524008483,True,True,,data/raw/fig4/fig4_obc_seed_dd092fc79bcc,3.248666825021118e-35,0.12415580285839675,0.0,0.0,1.0,True,2.9356153919935327e-16,0.019120739162684863,-1.3743468846512323,3.1581929096897694,,,,,,,,,,,,,direct_obc,,SUCCESS,False,,,,,,,,,U2_L24_g0p05
fig4_pbc_seed_endpoint_4c65e82aefea,fig3,pbc_seed_endpoint,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,1.0,7.38905609893065,SUCCESS,SUCCESS,5.958512632604932e-11,1.4200807223374598e-11,8.195586431725133e-10,0.9999999999999997,1,3,0.05301163624972105,True,True,,data/raw/fig4/fig4_pbc_seed_endpoint_4c65e82aefea,-1.196842788929241e-17,0.12649947812856907,0.95,0.10004167187531027,0.03680224107106413,True,0.8656416436976158,0.013622136704379196,-1.403718616587536,1.0000000000006501,,,,,,,,,,,,,,,,,,,,,1.1701074151829612e-11,8.384634148906029e-11,1.7471746272067967e-11,,U2_L40_g0p05
fig4_pbc_seed_endpoint_99b42d018e56,fig3,pbc_seed_endpoint,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,1.0,3.320116922736548,SUCCESS,SUCCESS,5.003101163214458e-12,3.6462436040527165e-11,9.57813495183757e-10,0.9999999999999991,1,3,0.01294071413576603,True,True,,data/raw/fig4/fig4_pbc_seed_endpoint_99b42d018e56,9.008050543444476e-19,0.12819196082992046,0.9166666666666666,0.10004167187531025,0.18085544775918888,True,0.7673136065679523,0.04934677762557015,-1.3994662774962965,1.0000000000003197,,,,,,,,,,,,,,,,,,,,,3.0378136314551176e-11,7.019304598985877e-12,2.424593860031258e-11,,U2_L24_g0p05
fig4_pbc_seed_random_083d16d3ad25,fig3,pbc_seed_random,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,1.0,7.38905609893065,SUCCESS,SUCCESS,9.577575821718201e-11,5.758570874486313e-14,8.004721330223674e-10,0.9999999999999991,1,1033,18.237260872032493,True,True,,data/raw/fig4/fig4_pbc_seed_random_083d16d3ad25,2.0184901674890315e-12,0.1264994780827585,0.95,0.1000416718753106,0.036943360242496844,True,0.8656416438474883,0.013622136722335254,-1.403718616587536,1.0019137065908845,,,,,,,,,,,,,,,,,,,,,3.557736348914111e-11,4.3685895669768623e-10,7.800121659761737e-11,,U2_L40_g0p05
fig4_pbc_seed_random_9aab966b2a8d,fig3,pbc_seed_random,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,1.0,3.320116922736548,SUCCESS,SUCCESS,5.539451006031287e-11,5.3388055198413944e-11,2.747347904730191e-10,0.9999999999999994,14,926,3.8729345751926303,True,True,,data/raw/fig4/fig4_pbc_seed_random_9aab966b2a8d,1.2187856055507975e-12,0.12819196083470252,0.9166666666666666,0.10004167187531043,0.18460780544328195,True,0.7673136066637788,0.04934677532677265,-1.3994662799377027,1.0100639004516159,,,,,,,,,,,,,,,,,,,,,1.5103074656587355e-09,3.112674460611996e-11,3.6162512984106537e-09,,U2_L24_g0p05
fig4_pbc_seed_uniform_53616f4a0222,fig3,pbc_seed_uniform,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,1.0,3.320116922736548,SUCCESS,SUCCESS,5.0030365978541955e-12,3.6462447605038545e-11,9.57813495183757e-10,0.9999999999999991,1,3,0.01278288010507822,True,True,,data/raw/fig4/fig4_pbc_seed_uniform_53616f4a0222,8.310946954880837e-18,0.12819196082992046,0.9166666666666666,0.1000416718753106,0.1808554477591888,True,0.7673136065679524,0.049346777625568904,-1.3994662774962965,1.0000000000004114,,,,,,,,,,,,,,,,,,,,,3.0378113186987324e-11,7.019719648729473e-12,2.425037948253651e-11,,U2_L24_g0p05
fig4_pbc_seed_uniform_c4bd19b1b790,fig3,pbc_seed_uniform,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,1.0,7.38905609893065,SUCCESS,SUCCESS,5.95859184525702e-11,1.4200918251678266e-11,8.195586431725133e-10,0.9999999999999989,1,3,0.053228387143462896,True,True,,data/raw/fig4/fig4_pbc_seed_uniform_c4bd19b1b790,1.7150791621524392e-17,0.12649947812856918,0.95,0.10004167187531023,0.03680224107106396,True,0.8656416436976163,0.013622136704378294,-1.403718616587536,1.0000000000004736,,,,,,,,,,,,,,,,,,,,,1.1700977009936062e-11,8.38456338905723e-11,1.7469969915586862e-11,,U2_L40_g0p05
