run_id,study,kind,L,U,g,lambda,accepted,mode,E_real,E_imag
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,41,-1.3082811362795888,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,42,-1.282355323351855,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,43,-1.2523167513312692,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,44,-1.2390156877836223,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,45,-1.2168734150874632,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,46,-1.1797800635041642,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,47,-1.170710341381152,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,48,-1.1402646480908056,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,49,-1.1028590303155839,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,50,-1.0953354769102321,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,51,-1.056030473681309,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,52,-1.0260197534080397,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,53,-1.0101072700572682,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,54,-0.9624432625920121,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,55,-0.9535287412578901,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,56,-0.9130722880275526,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,57,-0.8814760199232765,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,58,-0.8620456943305244,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,59,-0.8130923779178598,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,60,-0.8069973479710262,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,61,-0.7580050908763405,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,62,-0.7390878130164875,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,63,-0.704200636582712,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,64,-0.6712453985856057,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,65,-0.650397845665875,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,66,-0.6059241923071221,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,67,-0.5970983821695315,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,68,-0.545091366794141,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,69,-0.5441986561131015,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,70,-0.49548031210102117,0.0
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,71,-0.4874519636562984,0.0
