run_id,study,kind,L,U,g,lambda,accepted,j,delta_plus_abs,delta_minus_abs,P_real,P_imag,density
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,29,0.3556610883206966,0.3556610883206966,0.12649480974546234,0.0,0.8045436132947548
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,30,0.3556652693161587,0.3556652693161587,0.1264977837977357,0.0,0.8045599732101252
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,31,0.35566020609434734,0.35566020609434734,0.12649418219907363,0.0,0.8045504828815933
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,32,0.35566418355500024,0.35566418355500024,0.1264970114638449,0.0,0.8045536630037052
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,33,0.355661987597726,0.355661987597726,0.126495449421965,0.0,0.8045545674074182
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,34,0.3556626343074062,0.3556626343074062,0.12649590944248373,0.0,0.8045519367575238
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,35,0.35566297888846327,0.35566297888846327,0.12649615455181545,0.0,0.8045546052245933
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,36,0.3556622284675244,0.3556622284675244,0.1264956207584855,0.0,0.804552718875948
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,37,0.3556629875917714,0.3556629875917714,0.12649616074270453,0.0,0.804553700393796
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,38,0.35566243208609605,0.35566243208609605,0.1264957655973969,0.0,0.8045533587682179
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,39,0.3556627156618161,0.3556627156618161,0.12649596731193785,0.0,0.8045534144200561
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,40,0.35566271566181135,0.35566271566181135,0.12649596731193447,0.0,0.8045534144200517
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,41,0.35566243208609855,0.35566243208609855,0.12649576559739867,0.0,0.8045533587682164
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,42,0.3556629875917699,0.3556629875917699,0.12649616074270348,0.0,0.8045537003937893
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,43,0.35566222846752443,0.35566222846752443,0.12649562075848556,0.0,0.8045527188759376
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,44,0.35566297888847204,0.35566297888847204,0.1264961545518217,0.0,0.8045546052245907
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,45,0.35566263430740375,0.35566263430740375,0.126495909442482,0.0,0.8045519367575198
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,46,0.3556619875977292,0.3556619875977292,0.12649544942196728,0.0,0.8045545674074182
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,47,0.3556641835550012,0.3556641835550012,0.12649701146384557,0.0,0.8045536630037016
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,48,0.3556602060943504,0.3556602060943504,0.1264941821990758,0.0,0.8045504828815846
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,49,0.3556652693161626,0.3556652693161626,0.12649778379773846,0.0,0.8045599732101171
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,50,0.355661088320694,0.355661088320694,0.12649480974546048,0.0,0.804543613294749
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,51,0.35566080326609784,0.35566080326609784,0.12649460697988596,0.0,0.8045636936039162
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,52,0.355669785304893,0.355669785304893,0.12650099617882868,0.0,0.804548587000522
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,53,0.3556486064996493,0.3556486064996493,0.12648593130514238,0.0,0.8045442366604894
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,54,0.3556809517226569,0.3556809517226569,0.126508939418335,0.0,0.8045852562617112
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,55,0.3556456658766757,0.3556456658766757,0.12648383965686402,0.0,0.8044955622776913
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,56,0.3556642327425019,0.3556642327425019,0.12649704645231258,0.0,0.8046279968847727
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,57,0.3556899680854952,0.3556899680854952,0.1265153533966606,0.0,0.8044914817549075
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,58,0.35558890376047214,0.35558890376047214,0.12644346847757432,0.0,0.804551232657226
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,59,0.35577718374075384,0.35577718374075384,0.12657740447050211,0.0,0.8046845380759144
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,60,0.35552547156347697,0.35552547156347697,0.12639836093043266,0.0,0.8042424769194316
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,61,0.3557430909956538,0.3557430909956538,0.12655314679114205,0.0,0.8050364683471758
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,62,0.35572107077221077,0.35572107077221077,0.12653748019132818,0.0,0.8040227376316761
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,63,0.355317643203339,0.355317643203339,0.1262506275715753,0.0,0.8048505168465836
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,64,0.35631310404760985,0.35631310404760985,0.12695902811604284,0.0,0.804919974983462
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,65,0.35469760447078214,0.35469760447078214,0.12581039061731142,0.0,0.8030612924807979
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,66,0.35650856427918864,0.35650856427918864,0.1270983564044084,0.0,0.8074218047565587
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,67,0.3553315920850606,0.3553315920850606,0.1262605403337039,0.0,0.8006808325266572
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,68,0.35431525776214967,0.35431525776214967,0.12553930188305856,0.0,0.8080787298038004
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,69,0.3589533313543782,0.3589533313543782,0.12884749409040602,0.0,0.8039816821130803
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,70,0.3493673563584829,0.3493673563584829,0.12205754968891516,0.0,0.798604966587892
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,71,0.36232856106369327,0.36232856106369327,0.1312819861624865,0.0,0.8203612177143026
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,72,0.3489700451142734,0.3489700451142734,0.12178009238705799,0.0,0.7786332038846026
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,73,0.3518561543277867,0.3518561543277867,0.12380275333833926,0.0,0.8362260743750483
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,74,0.36851592862924426,0.36851592862924426,0.13580398965347426,0.0,0.7820787011248771
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,75,0.31458265958165504,0.31458265958165504,0.09896224970946746,0.0,0.7905065646004419
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,76,0.3986255600686399,0.3986255600686399,0.15890233714003685,0.0,0.8873722698255294
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,77,0.2662965961861993,0.2662965961861993,0.07091387714035569,0.0,0.6322342418669269
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,78,0.32570815713807383,0.32570815713807383,0.10608580362628019,0.0,1.129706393192197
conditioning_hermitian_reference_60183f0ca98b,conditioning,hermitian_reference,80,2.0,0.0,0.0,True,79,0.31646850534755355,0.31646850534755355,0.10015231487691453,0.0,0.4068051974652439
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,0,0.00010633785243288937,944.9299092321119,0.10048181724734785,0.0,0.41737366921502483
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,1,0.0002128039008574854,470.38719871889106,0.10010023080080518,0.0,1.1425211828988064
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,2,0.00035826752975604405,196.991532094763,0.0705756695864492,0.0,0.6336054130493848
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,3,0.001067571372810889,146.01626231159068,0.15588278160869973,0.0,0.9152600965543645
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,4,0.00167826836498309,57.099185746378495,0.0958277571044404,0.0,0.786250130661428
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,5,0.0040315067726829565,34.11929898951009,0.1375521849554047,0.0,0.8025851890085205
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,6,0.007552633876439897,15.899934572683405,0.1200863844868266,0.0,0.8418902377268469
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,7,0.015273529259366415,7.9983518562896805,0.12216306110374811,0.0,0.7884044193443092
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,8,0.03155508379814175,4.110499890880456,0.12970716850898534,0.0,0.8350479102467895
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,9,0.06094650137593192,1.9748689531564558,0.12036135337083516,0.0,0.8030385250303385
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,10,0.12627141604235576,1.017791341991501,0.1285179539889164,0.0,0.8207284746098089
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,11,0.24878546737287252,0.4988189090610746,0.12409889542518585,0.0,0.8132947607981156
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,12,0.49881890906107423,0.24878546737287233,0.12409889542518565,0.0,0.8132947607981098
conditioning_high_precision_6ddd829ef8bc,conditioning,high_precision,24,2.0,0.34782608695652173,0.0,True,13,1.017791341991511,0.126271416042357,0.12851795398891894,0.0,0.8207284746098109
