run_id,study,kind,config_hash,git_commit,source_config_hash,L,U,g,q,lambda,chi,status,message,field_residual,density_residual,number_residual,s_min,mu_evaluations,total_scf_iterations,wall_seconds,accepted,requested,reason,raw_directory,bulk_pair_product_imag,bulk_pair_product_real,complex_fraction,gamma_max_over_t,metric_K_real,metric_phase_stable,metric_violation,minimum_eigenvalue_separation,mu,right_condition,mp_similarity_error,covariance_error,similarity_condition,spectrum_error,map_error,component_error,density_error,pair_product_error,scale_imag,scale_real,delta_P_bulk,delta_P_full,seed_method,trial_index,branch_message,branch_terminated,pair_product_error_to_nh,density_uniformity,momentum_spectrum_error,pair_uniformity,density_error_to_endpoint,pair_product_error_to_endpoint,spectrum_error_to_endpoint,green_covariance_max
fig4_bandwidth_control_0a593f2a6e94,fig4,bandwidth_control,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.0,0.0,1.0,1.0,SUCCESS,SUCCESS,1.0449183402519101e-11,5.6763517466897044e-11,4.68891925287096e-10,,31,3013,5.243744989857078,True,True,,data/raw/fig4/fig4_bandwidth_control_0a593f2a6e94,0.0,0.12819196083781037,0.0,0.0,1.0,True,0.0,2.220446049250313e-16,-1.3994662783386538,1.000000000000006,,,,,,,,,,,,,,,,,5.452849361301597e-11,,,,,,,
fig4_bandwidth_control_551c44701f66,fig4,bandwidth_control,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.0,0.0,1.0,1.0,SUCCESS,SUCCESS,5.544728479323287e-11,6.036286755111683e-11,8.881485547007628e-10,,32,3541,16.222890036180615,True,True,,data/raw/fig4/fig4_bandwidth_control_551c44701f66,0.0,0.12649947812902992,0.0,0.0,1.0,True,0.0,0.0,-1.4037186166108504,1.0000000000000333,,,,,,,,,,,,,,,,,8.020507478107605e-11,,,,,,,
fig4_branch_trial_041d4f7b6557,fig4,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,1.9306977288832496e-08,6.410142202354297e-08,SUCCESS,SUCCESS,8.751271092368515e-11,2.19164350364491e-11,1.433579921439332e-10,0.9999999999999993,1,10,0.0388234700076282,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_041d4f7b6557,1.8784253487485697e-33,0.1241558029213425,0.0,5.837997212334353e-32,1.0000000001493545,True,3.292710391611053e-10,0.019120746916838405,-1.3743468846512323,3.1581929089190814,,,,,,,,,,,5.285591809161263e-10,7.167097218872467e-10,direct_obc,5.0,,,,,,,,,,
fig4_branch_trial_09ae86439847,fig4,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,1.389495494373136e-07,4.6132875049344347e-07,SUCCESS,SUCCESS,9.696038163564561e-11,1.822063763459943e-12,4.3283410189332017e-10,0.9999999999999991,1,63,0.2438137298449874,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_09ae86439847,8.030350882055958e-34,0.12415580343957017,0.0,1.195716991168108e-32,1.0000000047727122,True,4.136777320650781e-09,0.01912079493460861,-1.3743468846512323,3.1581929037095713,,,,,,,,,,,4.71322244494913e-09,4.990299210585029e-09,direct_obc,6.0,,,,,,,,,,
fig4_branch_trial_111a5fdc029e,fig4,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,0.1389495494373136,1.026706015713448,SUCCESS,SUCCESS,8.705608879386431e-11,7.50627558032021e-11,4.810810638744556e-10,0.9944086233625954,19,8294,139.35495072370395,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_111a5fdc029e,-1.6428500206214553e-17,0.12618151913886658,0.45,0.047145035646276534,0.3385035211059258,True,0.35218672492802994,0.018300835207231803,-1.3860546164338026,16.240965522413717,,,,,,,,,,,0.0009154069669377953,0.0487414409907079,direct_obc,26.0,,,,,,,,,,
fig4_branch_trial_1c8fba9ff7da,fig4,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,0.6105402296585326,2.027064948500753,SUCCESS,SUCCESS,5.135291783135747e-11,6.923898026135101e-11,4.04916433716096e-10,0.9838260270921564,25,6199,25.98250334104523,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_1c8fba9ff7da,2.3893941936512376e-17,0.1269095780686203,0.8333333333333334,0.09044346494297262,0.2318556775669198,True,0.6857905241936848,0.02265261788014694,-1.3850044974090898,4.6852588598274885,,,,,,,,,,,0.027901296507458387,0.2041606143245073,direct_obc,25.0,,,,,,,,,,
fig4_branch_trial_1e31ce2af580,fig4,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,7.1968567300115285e-12,2.3894405819821692e-11,SUCCESS,SUCCESS,7.15701148062512e-11,4.100761418698079e-11,2.320186265336588e-10,0.9999999999999994,1,3,0.011626441031694412,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_1e31ce2af580,-1.2741171693949772e-33,0.12415580286363133,0.0,2.4650509482330674e-32,1.0000000000000149,True,5.2071890882447835e-14,0.01912073918096424,-1.3743468846512323,3.158192909689506,,,,,,,,,,,5.7042608976541414e-11,1.326359724060606e-10,direct_obc,1.0,,,,,,,,,,
fig4_branch_trial_239262e8a218,fig4,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,0.3727593720314938,1.2376046991904113,SUCCESS,SUCCESS,8.819954768692514e-11,6.07193590166307e-11,8.259146699884923e-10,0.9944880341401265,20,5605,23.88314457796514,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_239262e8a218,3.300123957119847e-19,0.12596263096918242,0.5833333333333334,0.07231060117725333,0.386860829806857,True,0.5021864524730697,0.015545749658084942,-1.377025361092071,12.718245787941704,,,,,,,,,,,0.01735744073975584,0.12800914358827656,direct_obc,24.0,,,,,,,,,,
fig4_branch_trial_2c9f69513551,fig4,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,0.019306977288832457,0.142660338287963,SUCCESS,SUCCESS,8.704813388717504e-11,3.081366944258699e-11,8.1248197059125e-10,0.9998675371395284,14,6231,89.97869397699833,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_2c9f69513551,-2.6261520143856673e-19,0.12617993800846397,0.0,2.8330157864455947e-16,0.9431086041808542,True,0.02095899776954691,0.0021512428095232794,-1.3855365646734894,14.242900363472335,,,,,,,,,,,0.00010032210586922947,0.002972862106129837,direct_obc,12.0,,,,,,,,,,
fig4_branch_trial_2fd882971287,fig4,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,0.22758459260747863,0.7556074572701929,SUCCESS,SUCCESS,8.35899386235406e-11,5.811667799590794e-11,9.09873176802023e-10,0.9979087138646208,17,6460,27.276433428749442,True,True,SUCCESS,data/raw/fig4/fig4_branch_trial_2fd882971287,8.619759025747976e-18,0.12533589367452308,0.25,0.03598669640983949,0.5962609019299004,True,0.3037344750378212,0.046633049321420914,-1.374490416422748,6.064035623032407,,,,,,,,,,,0.010804379752500478,0.07186465483030915,direct_obc,23.0,,,,,,,,,,
