L,g,U,status,lambda_below,lambda_above,chi_below,chi_above
24,0.05,2.0,BRACKETED,0.1389495494373136,0.22758459260747863,0.4613287504934435,0.7556074572701929
24,0.1,2.0,BRACKETED,0.02448436746822229,0.04948168092155145,0.26989550117065764,0.5454452964088903
40,0.05,2.0,BRACKETED,0.019306977288832457,0.03162277660168373,0.142660338287963,0.23366247031379261
40,0.1,2.0,BRACKETED,0.0014677992676220735,0.0029663488391777374,0.0801391246321692,0.16195715897206936
