L,g,lambda,route_A_seed_lambda,route_B_seed_lambda,route_A_run_id,route_B_run_id,d_P,d_n,d_E,d_C,mu_A,mu_B,Mmc_A,Mmc_B,deltaP_A,deltaP_B,gamma_A,gamma_B,complex_fraction_A,complex_fraction_B,field_residual_A,field_residual_B,number_residual_A,number_residual_B,verdict
24,0.05,0.05,0.04948168092155145,0.03162277660168373,fig3_branch_trial_fbf6959d0d74,fig4_branch_trial_29f21d287f3f,1.6048430439714094e-09,8.07977712156017e-10,9.370590969837167e-10,8.218786266803271e-10,-1.3739916638315175,-1.3739916643128094,0.012220364900465831,0.012220364807212754,2.2837780381683355e-05,0.0007616204454082002,1.2017783569778465e-25,7.353352373704886e-26,0.0,0.0,8.205215038698607e-11,8.984240985727918e-11,1.962112694542384e-10,5.174294326337758e-10,PASS
24,0.05,0.075,0.04948168092155145,0.05179474679231202,fig3_branch_trial_fbf6959d0d74,fig4_branch_trial_15f9fde7ac49,1.5874858661903466e-09,5.21092715920456e-10,3.520601588036243e-10,5.75250581804185e-10,-1.373886079374707,-1.373886079488192,0.026704787802225856,0.026704788722202326,0.001199778082687635,0.0010972983231683248,3.830867469306049e-27,1.4370337500427622e-27,0.0,0.0,8.59099532235979e-11,8.6047080174033e-11,8.057405853634236e-10,9.166015724204613e-10,PASS
24,0.05,0.1,0.04948168092155145,0.08483428982440708,fig3_branch_trial_fbf6959d0d74,fig4_branch_trial_03a105272ae3,1.083624628210641e-09,5.87636292023666e-10,7.985847538805046e-10,1.2055753918253358e-09,-1.373836101619891,-1.373836102105739,0.044873785857163506,0.044873784648005545,0.0024802574767133463,0.0007856195426124354,0.003615203240292867,0.003615203096585247,0.08333333333333333,0.08333333333333333,9.587115822311252e-11,9.107643966119532e-11,1.4583767526943348e-10,1.4277878879198624e-10,PASS
24,0.05,0.15,0.1,0.1389495494373136,fig3_branch_trial_3d189fcc0a49,fig4_branch_trial_c5b8fba051f9,3.5377383975944233e-09,2.895023833738947e-09,7.215112507452659e-09,3.904636531157005e-09,-1.3739116908704863,-1.373911694462787,0.0870605580236771,0.08706055822681588,0.0026595692289073016,0.000587140607776535,0.006385042800642705,0.006385037064005038,0.16666666666666666,0.16666666666666666,6.830010396378689e-11,8.721145258993265e-11,9.840140924310958e-10,9.371264875213114e-10,PASS
24,0.05,0.2,0.1,0.1389495494373136,fig3_branch_trial_3d189fcc0a49,fig4_branch_trial_c5b8fba051f9,2.0043889312522153e-09,1.1816435748944616e-09,2.2113335389717732e-09,1.1367889392632337e-09,-1.3742214743576318,-1.3742214751692448,0.13144385921178744,0.13144385980293205,0.005252027299312574,0.0031778590504864773,0.02546590954873756,0.025465909356383317,0.25,0.25,8.494721746560242e-11,8.618005172011943e-11,1.5203949210729206e-10,6.646104777630057e-10,PASS
40,0.05,0.012,0.005994842503189421,0.011787686347935854,fig3_branch_trial_5db5ef74c12b,fig4_branch_trial_b7f3d06a25d6,6.856498369010084e-10,5.778864530398762e-10,1.085099121667099e-09,1.362299277842117e-09,-1.3855285302048914,-1.3855285309071919,0.004203473683021433,0.004203473303760766,3.120059755897731e-05,1.2071189912674763e-06,3.594686090965315e-16,8.806308567151074e-16,0.0,0.0,8.427859720728922e-11,8.306581179036068e-11,6.738927194049893e-10,2.922337927202534e-10,PASS
40,0.05,0.02,0.012115276586285901,0.019306977288832457,fig3_branch_trial_7bdd3ffd0031,fig4_branch_trial_d22d4070ef90,5.923960766050733e-10,4.4533224695283216e-10,2.260664988540384e-09,1.0358883687317632e-09,-1.3855374648493282,-1.3855374655523955,0.011196446488523769,0.011196446306887334,4.962635517896328e-05,4.705674544227953e-06,6.00910279261831e-16,3.82699568109428e-16,0.0,0.0,8.699170290004993e-11,6.270471361687951e-11,4.4758108330711366e-10,1.2187861830881275e-10,PASS
40,0.05,0.025,0.02448436746822229,0.019306977288832457,fig3_branch_trial_9673f328988e,fig4_branch_trial_d22d4070ef90,9.200691948857628e-10,4.072516689056812e-10,1.027983683062313e-09,1.307873880623307e-09,-1.3855446874251167,-1.3855446868542143,0.01687763914698029,0.016877639714438352,3.7706300979348666e-06,4.0167223892290494e-05,0.0031876907801247365,0.0031876907183192612,0.1,0.1,8.58647134341959e-11,8.902421562676458e-11,2.9537905454901647e-10,4.3926307036201706e-11,PASS
40,0.05,0.03,0.02448436746822229,0.019306977288832457,fig3_branch_trial_9673f328988e,fig4_branch_trial_d22d4070ef90,6.636193018189288e-10,5.449847729680492e-10,1.0399738847866047e-09,1.3334895786737024e-09,-1.3855532283193561,-1.3855532289915997,0.02332239575708142,0.02332239628206874,4.1354879054075094e-05,7.766318968833389e-05,0.00516073269667021,0.005160732994512986,0.1,0.1,8.372206894665513e-11,8.850420308006229e-11,4.5115133850970324e-10,8.135553342114576e-10,PASS
