L,g,lambda,route_A_run_id,route_B_run_id,d_pair,d_density,d_spectrum,d_projector,delta_mu,delta_Mmc,delta_deltaP,delta_gamma,complex_fraction_A,complex_fraction_B,verdict
24,0.05,1e-12,fig3_branch_trial_f89a5a047e81,fig4_branch_trial_d84e2bfde400,1.1190159301204933e-09,7.054955900302733e-10,1.6241563649543878e-09,1.1287541663658759e-09,1.0801703975715782e-09,6.217360517216204e-15,,3.090646609865961e-32,0.0,0.0,PASS
40,0.05,1e-12,fig3_branch_trial_6af72db50f95,fig4_branch_trial_4b9a277d051a,2.5193911832764275e-09,2.138815774550538e-09,4.181336166198025e-09,3.5063839493599252e-09,2.7200528496251763e-09,3.959857423745437e-12,,2.2204997271328367e-16,0.0,0.0,PASS
