coordinate,branch_count,common_min,common_max,mean_log10_std,max_log10_std
lambda,5,1e-12,1.0,0.5539360130918883,1.0620552246287327
chi,5,5.459815003314424e-11,3.320116922736548,0.532813624981023,1.0368360226724818
