run_id,study,kind,config_hash,git_commit,source_config_hash,L,U,g,q,lambda,chi,status,message,field_residual,density_residual,number_residual,s_min,mu_evaluations,total_scf_iterations,wall_seconds,accepted,requested,reason,raw_directory,bulk_pair_product_imag,bulk_pair_product_real,complex_fraction,gamma_max_over_t,metric_K_real,metric_phase_stable,metric_violation,minimum_eigenvalue_separation,mu,right_condition,mp_similarity_error,covariance_error,similarity_condition,spectrum_error,map_error,component_error,density_error,pair_product_error,scale_imag,scale_real,delta_P_bulk,delta_P_full,seed_method,trial_index,branch_message,branch_terminated,pair_product_error_to_nh,density_uniformity,momentum_spectrum_error,pair_uniformity,density_error_to_endpoint,pair_product_error_to_endpoint,spectrum_error_to_endpoint,green_covariance_max
fig3_branch_trial_326e4b038f6e,fig3,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.1,3.9000000000000004,0.0001778279410038928,0.009709076603015662,SUCCESS,SUCCESS,8.975818023205553e-11,3.390670463082446e-11,1.963356144329964e-10,0.9999999985962496,14,3442,48.966723138000816,True,True,SUCCESS,data/raw/fig3/fig3_branch_trial_326e4b038f6e,2.563553942452399e-19,0.12616954919485954,0.0,4.436529515635897e-16,0.9996831407037009,True,5.551216425932913e-05,0.0024953549693886856,-1.385521281961117,49.40468225651463,,,,,,,,,,,5.131736974268472e-06,1.7250149354497163e-05,fig2_hermitian_map,12.0,,,,,,,,,,
fig3_branch_trial_33a4f916ebda,fig3,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.1,3.9000000000000004,7.742636826811277e-08,4.2273364712239e-06,SUCCESS,SUCCESS,9.547129254273885e-11,1.799606615059313e-12,6.949636421893501e-10,0.9999999999999996,1,48,0.6638112827204168,True,True,SUCCESS,data/raw/fig3/fig3_branch_trial_33a4f916ebda,0.0,0.12616890293705119,0.0,0.0,1.0000000031612446,True,1.0331944098348582e-09,0.0018194614697597533,-1.3855207912384604,49.40244368618857,,,,,,,,,,,2.3340395817763457e-09,2.464818050210826e-09,fig2_hermitian_map,4.0,,,,,,,,,,
fig3_branch_trial_3812e4125761,fig3,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,7.742636826811277e-08,2.570645955529933e-07,SUCCESS,SUCCESS,9.37100762794813e-11,4.436720056477266e-12,4.271872855454717e-10,0.9999999999999996,1,29,0.11052852915599942,True,True,SUCCESS,data/raw/fig3/fig3_branch_trial_3812e4125761,0.0,0.12415580309766097,0.0,0.0,1.0000000015015618,True,1.7926444590904954e-09,0.019120767081638013,-1.374346883571062,3.1581929064677383,,,,,,,,,,,2.2921006815682386e-09,2.2267770023049366e-09,fig2_hermitian_map,4.0,,,,,,,,,,
fig3_branch_trial_3b558ba2fbdf,fig3,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.1,3.9000000000000004,2.1544346900318867e-05,0.0011762814844297155,SUCCESS,SUCCESS,9.390603619124102e-11,2.038525086119779e-11,2.9527758016456573e-10,0.999999999942419,13,2223,30.30437162797898,True,True,SUCCESS,data/raw/fig3/fig3_branch_trial_3b558ba2fbdf,0.0,0.1261689800988365,0.0,0.0,0.999998572695803,True,4.949979704768451e-07,0.0019010381624910977,-1.3855208498322105,49.40115657035271,,,,,,,,,,,6.139523273317579e-07,7.380529989134388e-07,fig2_hermitian_map,6.0,,,,,,,,,,
fig3_branch_trial_46de52bd319e,fig3,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,7.742636826811277e-08,5.721077786695493e-07,SUCCESS,SUCCESS,8.055998406400733e-11,2.7167794442930087e-11,6.084230896874487e-10,0.9999999999999993,1,5,0.06977593526244164,True,True,SUCCESS,data/raw/fig3/fig3_branch_trial_46de52bd319e,0.0,0.12616890267738454,0.0,0.0,1.0000000000375076,True,7.035274550808121e-11,0.001819208302596964,-1.3855207912384604,7.028687477991106,,,,,,,,,,,2.8058708168558934e-10,3.709897228360324e-10,fig2_hermitian_map,4.0,,,,,,,,,,
fig3_branch_trial_4afe30398198,fig3,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.05,1.9500000000000002,0.012115276586285901,0.08952045835012755,SUCCESS,SUCCESS,8.535078919334388e-11,5.473075239870974e-11,6.824478759881458e-10,0.9999862695247707,14,4464,63.79621498286724,True,True,SUCCESS,data/raw/fig3/fig3_branch_trial_4afe30398198,7.104444383216618e-18,0.12617560029069083,0.0,4.409188891743502e-16,0.9764400286153235,True,0.0085653828342322,0.004029834864002102,-1.3855286368812822,7.669080227934493,,,,,,,,,,,5.6796720964382314e-05,0.001227393658676589,fig2_hermitian_map,14.0,,,,,,,,,,
fig3_branch_trial_505aa2bb8187,fig3,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.1,3.9000000000000004,4.354004653656653e-05,0.0023772059932535413,SUCCESS,SUCCESS,8.015564002547427e-11,3.516633767050774e-11,8.648111116116297e-10,0.9999999999302278,11,2611,36.095454707276076,True,True,SUCCESS,data/raw/fig3/fig3_branch_trial_505aa2bb8187,5.476086873335331e-19,0.12616905931848937,0.0,4.987385918316115e-16,0.9999865941924115,True,2.70362717842575e-06,0.0019846333650008763,-1.3855209084259603,49.400280163479174,,,,,,,,,,,1.241990135462839e-06,1.7994957576801753e-06,fig2_hermitian_map,10.0,,,,,,,,,,
fig3_branch_trial_527f7526a827,fig3,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.1,3.9000000000000004,0.005994842503189421,0.32730731041420597,SUCCESS,SUCCESS,9.304021045421472e-11,1.842035999660931e-11,3.1803359945570264e-10,0.9991889693991028,16,7766,119.27944269776344,True,True,SUCCESS,data/raw/fig3/fig3_branch_trial_527f7526a827,-8.304090568805352e-19,0.12619078274252812,0.1,0.010045245006114817,0.742631248739538,True,0.04954957670305693,0.010117296046708472,-1.3855524802296322,56.970665754878226,,,,,,,,,,,0.00027055228734987395,0.012276647941633644,fig2_hermitian_map,17.0,,,,,,,,,,
fig3_branch_trial_59d53059d1f1,fig3,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,40,2.0,0.1,3.9000000000000004,4.641588833612792e-09,2.534221635297582e-07,SUCCESS,SUCCESS,7.72178810031785e-11,3.877170515154106e-11,6.086215975642517e-10,0.9999999999999996,1,3,0.04185630660504103,True,True,SUCCESS,data/raw/fig3/fig3_branch_trial_59d53059d1f1,0.0,0.12616890266297584,0.0,0.0,1.0000000000124023,True,1.72563018885969e-11,0.0018191854367761717,-1.3855207912384604,49.40244878013542,,,,,,,,,,,1.662739972615193e-10,2.414406064725177e-10,fig2_hermitian_map,3.0,,,,,,,,,,
fig3_branch_trial_62f2f14eec6f,fig3,branch_trial,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,cb20a339f3d8dfccb33e4fd8bf6738036431a0eb,056697e838fdf90f8af053d13a5639d0d26706ba59f595f9bbc2d755d337fc52,24,2.0,0.05,1.1500000000000001,0.012115276586285901,0.0402241348177617,SUCCESS,SUCCESS,9.076981053598315e-11,5.7893498540955114e-11,9.51759226985871e-10,0.9999973739959849,17,4611,18.11417619884014,True,True,SUCCESS,data/raw/fig3/fig3_branch_trial_62f2f14eec6f,0.0,0.12420023902211359,0.0,0.0,0.9983695464568093,True,0.0011474608258048179,0.02366833767399945,-1.374245476632631,3.164720538284554,,,,,,,,,,,0.000358959922102052,0.0005458913730802082,fig2_hermitian_map,14.0,,,,,,,,,,
