run_id,kind,L,U,filling,g,target_g,lambda,chi,status,message,accepted,s_min,metric_violation
generalization_branch_trial_edce0a83142b,branch_trial,24,1.0,0.8,0.1,0.1,0.07034321639046047,0.7754056814536853,SUCCESS,SUCCESS,True,0.9999298734584776,0.14164725976949782
generalization_branch_trial_edd5859e6b31,branch_trial,40,2.0,0.6,0.05,0.05,7.742636826811277e-08,5.721077786695493e-07,SUCCESS,SUCCESS,True,0.9999999999999996,3.3357655139629318e-12
generalization_branch_trial_ee453fa0799f,branch_trial,40,1.0,0.8,0.05,0.05,0.09631740910911686,0.7116947392109185,SUCCESS,SUCCESS,True,0.9999999999999992,0.09723366736891424
generalization_branch_trial_ee937f484c1d,branch_trial,24,2.0,1.0,0.1,0.1,0.00017782794100389284,0.00196022875909224,SUCCESS,SUCCESS,True,0.9999999986690472,1.648804268090299e-05
generalization_branch_trial_ee9abf994d33,branch_trial,40,1.0,0.8,0.05,0.05,0.1,0.7389056098930651,FAILED,NO_SCF_CONVERGENCE,False,0.9999923132065841,0.10328203409938344
generalization_branch_trial_eea9afc6867e,branch_trial,24,3.0,0.8,0.1,0.1,0.02448436746822229,0.26989550117065764,SUCCESS,SUCCESS,True,0.9999580722041751,0.027592313421830297
generalization_branch_trial_eef52d0fce94,branch_trial,40,1.0,0.8,0.05,0.05,0.09632448159565114,0.7117469982106792,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999807285,0.0972451956636452
generalization_branch_trial_ef615569e09c,branch_trial,40,1.0,0.8,0.05,0.05,0.1,0.7389056098930651,FAILED,NO_SCF_CONVERGENCE,False,0.9999921677421457,0.10328203409901802
generalization_branch_trial_ef97c42655a6,branch_trial,40,1.0,0.8,0.05,0.05,0.09633154177910175,0.7117991663022645,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999229078,0.09725671543293336
generalization_branch_trial_efa91adde48d,branch_trial,40,2.0,1.0,0.1,0.1,1.6681005372000556e-11,9.107520340041714e-10,SUCCESS,SUCCESS,True,0.9999999999999996,7.837651504422438e-14
generalization_branch_trial_f0219347b0f4,branch_trial,24,3.0,0.8,0.05,0.05,0.012115276586285901,0.0402241348177617,SUCCESS,SUCCESS,True,0.9999998086580651,0.001230034352589962
generalization_branch_trial_f089683447fb,branch_trial,24,3.0,0.8,0.1,0.1,0.009003825786788665,0.09925075974834063,SUCCESS,SUCCESS,True,0.9999992130275965,0.004440472028385242
generalization_branch_trial_f09a7aead1a0,branch_trial,24,3.0,0.8,0.1,0.1,0.005994842503189421,0.06608220628682401,SUCCESS,SUCCESS,True,0.9999998648037008,0.002004397102921999
generalization_branch_trial_f116621c8fe4,branch_trial,20,1.5,0.8,0.1,0.1,0.04948168092155145,0.36562291619873016,SUCCESS,SUCCESS,True,0.9987892287853383,0.018429693504839053
generalization_branch_trial_f191a994d789,branch_trial,20,2.0,1.0,0.1,0.1,1.2915496650148854e-06,9.543332929350077e-06,SUCCESS,SUCCESS,True,0.9999999999997471,1.9058964927070264e-07
generalization_branch_trial_f1bcb4cdee84,branch_trial,24,3.0,0.8,0.1,0.1,0.015430075658682712,0.17008844555230423,FAILED,NO_SCF_CONVERGENCE,False,0.9999877177789789,0.012296140571582546
generalization_branch_trial_f2185584538f,branch_trial,20,3.0,0.8,0.1,0.1,0.1,0.7389056098930651,SUCCESS,SUCCESS,True,0.9942181606678138,0.12046108579602402
generalization_branch_trial_f272f4b06b83,branch_trial,24,1.0,0.8,0.05,0.05,0.07034321639046047,0.23354770313768672,SUCCESS,SUCCESS,True,0.9999170270695601,0.045096268738986665
generalization_branch_trial_f296f1988c94,branch_trial,20,2.0,0.6,0.1,0.1,1.2915496650148854e-06,9.543332929350077e-06,SUCCESS,SUCCESS,True,0.9999999999998881,4.189046536571861e-08
generalization_branch_trial_f2bd7c166b50,branch_trial,20,3.0,0.8,0.1,0.1,0.005994842503189421,0.04429622756032048,SUCCESS,SUCCESS,True,0.9999975099669529,0.0009016324971020418
generalization_branch_trial_f37130b34f33,branch_trial,40,1.0,0.8,0.1,0.1,1e-13,5.4598150033144234e-12,SUCCESS,SUCCESS,True,0.9999999999999997,3.927306839281692e-06
generalization_branch_trial_f395b15f7759,branch_trial,40,1.5,0.8,0.05,0.05,7.742636826811277e-08,5.721077786695493e-07,SUCCESS,SUCCESS,True,0.9999999999999993,1.45416679016234e-08
generalization_branch_trial_f3bda835874e,branch_trial,40,1.0,0.8,0.05,0.05,0.09631786765649926,0.7116981274432511,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999243,0.09723441310342627
generalization_branch_trial_f433b5f9170f,branch_trial,24,1.0,0.8,0.1,0.1,0.05403048785211251,0.5955875975259497,SUCCESS,SUCCESS,True,0.9999538866117899,0.11852406356531074
