U,filling,L,g,gL,saved_records,accepted_trials,max_lambda,hermitian_seed_failed
3.0,1.0,40,0.1,4.0,0,0,,False
4.0,0.6,20,0.1,2.0,0,0,,False
4.0,0.6,40,0.05,2.0,0,0,,False
4.0,0.6,80,0.025,2.0,0,0,,False
4.0,0.6,24,0.1,2.4000000000000004,0,0,,False
4.0,0.6,48,0.05,2.4000000000000004,0,0,,False
4.0,0.6,96,0.025,2.4000000000000004,0,0,,False
4.0,0.6,24,0.05,1.2000000000000002,0,0,,False
4.0,0.6,40,0.1,4.0,0,0,,False
4.0,1.0,20,0.1,2.0,0,0,,False
4.0,1.0,40,0.05,2.0,0,0,,False
4.0,1.0,80,0.025,2.0,0,0,,False
4.0,1.0,24,0.1,2.4000000000000004,0,0,,False
4.0,1.0,48,0.05,2.4000000000000004,0,0,,False
4.0,1.0,96,0.025,2.4000000000000004,0,0,,False
4.0,1.0,24,0.05,1.2000000000000002,0,0,,False
4.0,1.0,40,0.1,4.0,0,0,,False
